"OBJECTID","Num_Cases","xcoord","ycoord","Label","Address","City","Region","Postal","CountryCode"
"105","3","-0.136850981060856","51.514219004849899","Broad Street","53 Poland Street","London","England","W1F 8","GBR"
"106","3","-0.136739958203834","51.513363578330797","Broad Street","52 Broadwick Street","London","England","W1F 7","GBR"
"107","18","-0.136829220096278","51.513273112733799","Broad Street","45 Broadwick Street","London","England","W1F 7","GBR"
"108","3","-0.136796503492113","51.514912617177302","Berners Street","18 Noel Street","London","England","W1F 8","GBR"
"109","1","-0.136784506174271","51.512720193600003","Broad Street","71 Beak Street","London","England","W1F 9","GBR"
"110","1","-0.136729595379691","51.514182665761801","Broad Street","7 Poland Street","London","England","W1F 8","GBR"
"111","1","-0.136688674460084","51.513986323987503","Broad Street","56 Poland Street","London","England","W1F 8","GBR"
"112","3","-0.136731914755324","51.5133044426277","Broad Street","43 Broadwick Street","London","England","W1F 7","GBR"
"113","1","-0.136739958203834","51.513363578330797","Broad Street","52 Broadwick Street","London","England","W1F 7","GBR"
"114","1","-0.136674998194371","51.513966716160098","Broad Street","56 Poland Street","London","England","W1F 8","GBR"
"115","3","-0.136729595379691","51.514182665761801","Broad Street","7 Poland Street","London","England","W1F 8","GBR"
"116","1","-0.136683878895704","51.512754173849203","Broad Street","73 Beak Street","London","England","W1F 9","GBR"
"117","4","-0.136731914755324","51.5133044426277","Broad Street","43 Broadwick Street","London","England","W1F 7","GBR"
"118","4","-0.136564001861124","51.513407228280201","Broad Street","48 Broadwick Street","London","England","W1F 7","GBR"
"119","2","-0.13648991139426","51.513701354711401","Broad Street","60 Poland Street","London","England","W1F 8","GBR"
"120","1","-0.136485080715731","51.5149852481645","Berners Street","20 Noel Street","London","England","W1F 8","GBR"
"121","1","-0.13654123925528","51.512739968207804","Broad Street","21 Great Pulteney Street","London","England","W1F 9","GBR"
"122","1","-0.136506171322518","51.513275889295002","Broad Street","51 Lexington Street","London","England","W1F 0","GBR"
"123","1","-0.13656473715018","51.512794680348797","Broad Street","75 Beak Street","London","England","W1F 9","GBR"
"124","1","-0.136522090218841","51.513418262082197","Broad Street","46 Broadwick Street","London","England","W1F 7","GBR"
"125","1","-0.136466840887401","51.512605995668402","Broad Street","24 Great Pulteney Street","London","England","W1F 9","GBR"
"126","1","-0.136501645167453","51.513855864606199","Broad Street","1a Poland Street","London","England","W1F 8","GBR"
"127","1","-0.136581232955252","51.5121993150224","Bridle Street","Golden House, Great Pulteney Street","London","England","W1F 9","GBR"
"128","2","-0.13656473715018","51.512794680348797","Broad Street","75 Beak Street","London","England","W1F 9","GBR"
